country,year,cic,gdp,cd,debt_gdp_2,tax_gdp,interest_rates_imf,urbanization,crime,region,development
United States,1971,58.07183333,1164.85,0.049853486,NA,NA,NA,73.613,NA,North America,High-Income Economies
United States,1972,62.17583333,1279.11,0.048608668,NA,11.8199373,NA,73.623,NA,North America,High-Income Economies
United States,1973,67.60608333,1425.376,0.047430351,NA,11.49521249,NA,73.633,NA,North America,High-Income Economies
United States,1974,73.97008333,1545.243,0.047869548,NA,11.83762036,NA,73.643,NA,North America,High-Income Economies
United States,1975,80.76175,1684.904,0.047932553,NA,11.1858005,NA,73.653,NA,North America,High-Income Economies
United States,1976,88.36808333,1873.412,0.047169594,NA,10.74883688,NA,73.663,NA,North America,High-Income Economies
United States,1977,96.47058333,2081.826,0.046339407,NA,11.61864632,NA,73.673,NA,North America,High-Income Economies
United States,1978,106.139,2351.599,0.045134821,NA,11.54235905,NA,73.682,NA,North America,High-Income Economies
United States,1979,116.642,2627.334,0.044395574,NA,12.00380309,NA,73.692,NA,North America,High-Income Economies
United States,1980,127.5426667,2857.307,0.044637369,NA,12.13835265,NA,73.738,NA,North America,High-Income Economies
United States,1981,137.4699167,3207.042,0.042865019,NA,12.55050604,NA,73.89,NA,North America,High-Income Economies
United States,1982,147.44775,3343.789,0.044096009,NA,11.97862664,NA,74.042,NA,North America,High-Income Economies
United States,1983,160.6590833,3634.038,0.044209522,NA,10.34826823,9.38,74.194,NA,North America,High-Income Economies
United States,1984,173.9805833,4037.613,0.04308996,NA,10.15971565,8.13,74.344,NA,North America,High-Income Economies
United States,1985,185.4145833,4338.979,0.042732307,NA,10.38424016,7.75,74.494,NA,North America,High-Income Economies
United States,1986,198.78775,4579.631,0.043406936,NA,10.16304589,5.88,74.644,NA,North America,High-Income Economies
United States,1987,214.6169167,4855.215,0.044203381,NA,10.94884573,6.81,74.793,NA,North America,High-Income Economies
United States,1988,233.0936667,5236.438,0.044513783,NA,10.59594327,8.69,74.942,NA,North America,High-Income Economies
United States,1989,247.3764167,5641.58,0.043848783,NA,10.78244038,8.25,75.089,NA,North America,High-Income Economies
United States,1990,266.8675833,5963.144,0.044752832,NA,10.46528476,7,75.3,9.3,North America,High-Income Economies
United States,1991,291.81875,6158.129,0.047387567,NA,10.32034243,4,75.701,9.7,North America,High-Income Economies
United States,1992,312.6661667,6520.327,0.047952529,NA,9.984161837,3,76.097,9.2,North America,High-Income Economies
United States,1993,343.5631667,6858.559,0.050092617,NA,10.30493432,3,76.488,9.4,North America,High-Income Economies
United States,1994,379.1286667,7287.236,0.052026402,NA,10.62350664,5.5,76.875,8.9,North America,High-Income Economies
United States,1995,407.9183333,7639.749,0.053394206,NA,10.98098904,5.5,77.257,8.1,North America,High-Income Economies
United States,1996,425.7430833,8073.122,0.052735866,NA,11.37391458,5.25,77.636,7.3,North America,High-Income Economies
United States,1997,453.8421667,8577.552,0.052910454,NA,11.82819654,5.5,78.008,6.7,North America,High-Income Economies
United States,1998,485.664,9062.817,0.053588636,NA,12.32982913,4.75,78.377,6.2,North America,High-Income Economies
United States,1999,535.6471667,9630.663,0.05561893,NA,12.26062892,5.5,78.742,5.6,North America,High-Income Economies
United States,2000,572.01975,10252.347,0.055794029,NA,12.96903235,6.5,79.057,5.5,North America,High-Income Economies
United States,2001,601.0930833,10581.822,0.056804309,NA,11.858072,1.8306,79.234,6.7,North America,High-Income Economies
United States,2002,653.9599167,10936.418,0.059796536,NA,9.861546039,1.25,79.409,5.6,North America,High-Income Economies
United States,2003,693.5033333,11458.246,0.060524389,NA,9.389746033,1,79.583,5.7,North America,High-Income Economies
United States,2004,729.3506667,12213.73,0.059715637,NA,9.539265084,2.25,79.757,5.5,North America,High-Income Economies
United States,2005,761.86775,13036.637,0.058440513,NA,10.68450134,4.25,79.928,5.7,North America,High-Income Economies
United States,2006,794.0215833,13814.609,0.057476949,NA,11.31121212,5.25,80.099,5.8,North America,High-Income Economies
United States,2007,811.7314167,14451.86,0.056167955,NA,11.30719612,4.25,80.269,5.7,North America,High-Income Economies
United States,2008,832.3643333,14712.845,0.056573989,NA,10.31615636,0.125,80.438,5.4,North America,High-Income Economies
United States,2009,907.3975833,14448.932,0.062800322,NA,7.919615919,0.125,80.606,5,North America,High-Income Economies
United States,2010,945.6419167,14992.052,0.063076216,NA,8.595887591,0.125,80.772,4.8,North America,High-Income Economies
United States,2011,1023.447167,15542.582,0.06584795,NA,9.573699439,0.125,80.944,4.7,North America,High-Income Economies
United States,2012,1112.7995,16197.007,0.06870402,NA,9.79687152,0.125,81.119,4.7,North America,High-Income Economies
United States,2013,1193.20175,16784.851,0.071088016,NA,10.51960599,0.125,81.299,4.5,North America,High-Income Economies
United States,2014,1279.127417,17527.258,0.072979323,NA,10.95153383,0.125,81.483,4.5,North America,High-Income Economies
United States,2015,1371.52375,18224.78,0.075255984,NA,11.2046032,0.375,81.671,5,North America,High-Income Economies
United States,2016,1457.525,18715.04,0.077879876,NA,10.98294396,0.625,81.862,5.4,North America,High-Income Economies
United States,2017,1555.442667,19519.424,0.079686914,NA,11.94741055,NA,82.058,5.3,North America,High-Income Economies
United States,2018,1661.464,20580.223,0.080731098,NA,9.675467574,NA,82.256,NA,North America,High-Income Economies
United Kingdom,1875,25377365,1245828338,0.02037,57.46885574,5.607674722,4,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1876,26196835,1229404387,0.02131,58.20848145,5.789619403,2,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1877,27216605,1212413224,0.02245,58.99003313,5.932696588,4,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1878,26529445,1190624638,0.02228,60.23700995,6.270988334,5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1879,29384465,1143697139,0.02569,62.52744693,6.105530636,3,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1880,26305410,1229476011,0.0214,58.25296999,6.060497497,3,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1881,25259150,1246862361,0.02026,57.0249318,6.25328409,5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1882,24532660,1283575035,0.01911,54.98222472,6.299591672,5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1883,24835615,1290341594,0.01925,54.18333024,6.268576675,3,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1884,24180600,1255920950,0.01925,55.28568795,6.529203763,5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1885,23418840,1230757485,0.01903,56.51923221,6.79930613,4,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1886,23441560,1240626641,0.01889,55.88687009,6.856587464,5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1887,23245785,1291547090,0.018,51.97321047,6.568684355,4,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1888,23183670,1337360296,0.01734,49.18423958,6.320774336,5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1889,23042465,1408963646,0.01635,46.23892304,6.249587883,6,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1890,23069860,1442909308,0.01599,44.76767367,6.276559883,5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1891,23615300,1441379836,0.01638,44.27559739,6.398009746,3.5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1892,24590555,1409542375,0.01745,44.93290412,6.541859406,3,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1893,24511490,1410475907,0.01738,44.67214641,6.566287439,3,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1894,24308400,1488136585,0.01633,42.02909278,6.41808708,2,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1895,24794165,1519498830,0.01632,40.67265259,6.685745102,2,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1896,24919335,1571419872,0.01586,39.00027471,6.725848217,4,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1897,25563940,1610681187,0.01587,37.67283594,6.77393357,3,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1898,26353465,1699938082,0.0155,35.54670695,6.561824333,4,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1899,26225355,1804817756,0.01453,33.67066763,6.696928369,6,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1900,28437985,1875030802,0.01517,34.99418456,6.989948694,4,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1901,28603125,1890361274,0.01513,37.94170785,7.539447941,4,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1902,28487485,1897990764,0.01501,39.66224818,7.981850344,4,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1903,28106400,1870482528,0.01503,40.38025163,7.80750858,4,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1904,27629180,1874081466,0.01474,40.35432999,7.741148085,3,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1905,26986870,1944106758,0.01388,38.77276111,7.5359139,4,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1906,28265930,2021576044,0.01398,36.90686657,7.305590649,6,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1907,27885190,2094482594,0.01331,34.92302605,7.113084952,7,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1908,27810505,1992953883,0.01395,36.02603814,7.281199867,2.5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1909,28649325,2035113165,0.01408,35.55100789,6.389971073,4.5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1910,27748220,2121940371,0.01308,33.29513358,8.356945878,4.5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1911,27110320,2208451964,0.01228,31.23298785,8.209702724,4,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1912,27988795,2303628322,0.01215,29.62630035,7.805688292,5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1913,27707990,2404537406,0.01152,28.26622733,7.824927555,5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1914,28210060,2433852663,0.01159,41.38195156,8.669855458,5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1915,34222880,2916456549,0.01173,63.70901956,10.19406939,5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1916,32507860,3381059675,0.00961,102.2486443,14.6256388,6,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1917,38584710,4184401064,0.00922,125.437477,15.48795297,5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1918,47251225,4968237588,0.00951,137.3330407,16.336998,5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1919,70335745,5337207075,0.01318,140.2476963,22.12645803,6,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1920,96526440,5842722983,0.01652,125.6050236,22.95010816,7,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1921,127697910,4799506653,0.02661,160.3529395,25.00621599,5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1922,121545695,4361473437,0.02787,178.5996203,22.16510117,3,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1923,123940440,4162624390,0.02977,185.7908443,20.57355937,4,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1924,125579195,4271644204,0.0294,179.7036371,18.93533172,4,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1925,124803065,4410606203,0.0283,173.2584966,18.34044943,5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1926,141138190,4255178999,0.03317,179.7327446,18.97217485,5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1927,136603685,4500028046,0.03036,169.6972757,18.52266233,4.5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1928,135349460,4500230401,0.03008,169.4007711,18.62126881,4.5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1929,352253215,4590654925,0.07673,165.6054555,17.86999924,5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1930,346812165,4515478798,0.07681,168.0048859,18.75991535,3,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1931,347665402,4223786063,0.08231,180.6844591,20.19692729,6,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1932,346404346,4132592802,0.08382,188.9074335,20.15986186,2,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1933,356249195,4206436489,0.08469,189.8929182,19.34654195,2,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1934,367402301,4420603523,0.08311,179.4868044,18.22828028,2,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1935,377437751,4618915095,0.08172,171.0748052,18.07242573,2,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1936,399881499,4880576242,0.08193,162.0264618,18.10544403,2,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1937,455067116,5219979899,0.08718,154.9665929,17.92487746,2,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1938,474523750,5383652819,0.08814,153.4845444,18.42290046,2,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1939,472734976,5791478319,0.08163,153.4612496,19.00551015,2,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1940,531215913,7029795827,0.07557,155.5567938,19.97959876,2,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1941,603248922,8470321049,0.07122,160.0635905,23.6682292,2,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1942,749571795,9280885326,0.08077,175.7499358,29.47402003,2,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1943,917446872,9878094668,0.09288,192.9390296,31.30664469,2,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1944,1077464198,9963707093,0.10814,219.2125862,33.15357396,2,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1945,1217141164,9696727960,0.12552,241.9965796,34.95586361,2,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1946,1323113723,9756250981,0.13562,259.0280329,36.27417957,2,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1947,1375574579,10544029386,0.13046,244.4243472,34.10460905,2,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1948,1231610932,11581000000,0.10635,219.6876349,36.42172524,2,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1949,1228029806,12343000000,0.09949,208.6834643,36.87920279,2,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1950,1247156890,12920000000,0.09653,200.5893963,35.66563467,2,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1951,1288980991,14508000000,0.08885,178.5128894,34.15357044,2.5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1952,1367027466,15759000000,0.08675,165.0548893,32.74953995,4,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1953,1464747486,16903000000,0.08666,156.481098,30.91758859,3.5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1954,1547887977,17833000000,0.0868,150.5425335,30.63982504,3,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1955,1658946375,19388000000,0.08557,139.3271611,30.29709098,4.5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1956,1787882333,21052000000,0.08493,128.3286624,28.97586928,5.5,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1957,1873368446,22323000000,0.08392,121.7399095,28.91636429,7,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1958,1962114543,23452000000,0.08367,116.5785434,29.464438,4,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1959,2006062831,24597000000,0.08156,112.3866732,29.12956865,4,NA,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1960,2111915274,26412000000,0.07996,106.4752764,27.83204604,5,78.444,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1961,2205960632,28069000000,0.07859,101.7795433,28.54750793,6,78.374,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1962,2302141403,29374000000,0.07837,100.614489,29.77122625,4.5,78.237,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1963,2309448249,31229000000,0.07395,96.48563835,28.72009991,4,78.099,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1964,2429044275,34127000000,0.07118,89.04166789,28.52873092,7,77.96,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1965,2601417528,36906000000,0.07049,84.31149407,29.72145451,6,77.821,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1966,2778619008,39423000000,0.07048,80.72635264,30.67245009,7,77.682,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1967,2859800000,41728000000,0.06853,80.62212423,32.40270322,8,77.541,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1968,3012500000,45809000000,0.06576,74.30090157,33.51961405,7,77.4,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1969,3132500000,49682000000,0.06305,67.03685439,34.84159253,8,77.259,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1970,3231000000,55916000000,0.05778,59.64527148,34.6323056,7,77.117,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1971,3658000000,62640000000,0.0584,56.25878033,32.73467433,5,77.03,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1972,3663000000,70305000000,0.0521,52.09266766,30.844178930000002,9,77.195,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1972,3663000000,70305000000,0.0521,52.09266766,23.01848532,9,77.195,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1973,4166000000,81467000000,0.05114,48.25880418,29.31002737,13,77.358,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1973,4166000000,81467000000,0.05114,48.25880418,21.07158307,13,77.358,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1974,4552000000,92227000000,0.04936,53.24335607,32.74637579,11.5,77.521,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1974,4552000000,92227000000,0.04936,53.24335607,23.74607351,11.5,77.521,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1975,5306000000,114541000000,0.04632,53.76131691,33.58273457,11.25,77.683,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1975,5306000000,114541000000,0.04632,53.76131691,24.26560756,11.25,77.683,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1976,5981000000,136172000000,0.04392,52.40871839,33.00237934,14.25,77.844,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1976,5981000000,136172000000,0.04392,52.40871839,23.80069525,14.25,77.844,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1977,6694000000,158786000000,0.04216,49.15389266,32.09791795,7,78.005,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1977,6694000000,158786000000,0.04216,49.15389266,23.32577445,7,78.005,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1978,7652000000,184891000000,0.04139,46.69724324,30.49850993,12.5,78.164,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1978,7652000000,184891000000,0.04139,46.69724324,22.15422207,12.5,78.164,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1979,8843000000,219559000000,0.04028,43.63075529,30.60179724,17,78.323,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1979,8843000000,219559000000,0.04028,43.63075529,21.90377871,17,78.323,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1980,9651000000,258411000000,0.03735,42.53853358,32.34266343,14,78.481,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1980,9651000000,258411000000,0.03735,42.53853358,23.87606593,14,78.481,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1981,10160000000,287850000000,0.0353,42.50755602,33.18221296,14.375,78.588,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1981,10160000000,287850000000,0.0353,42.50755602,24.6394262,14.375,78.588,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1982,10570000000,316698000000,0.03338,41.27252146,33.80349734,10,78.539,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1982,10570000000,316698000000,0.03338,41.27252146,25.86613933,10,78.539,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1983,10910000000,348283000000,0.03133,40.43823557,33.21637863,9.0625,78.489,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1983,10910000000,348283000000,0.03133,40.43823557,24.6485305,9.0625,78.489,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1984,11400000000,374534000000,0.03044,41.02798411,33.40123994,9.5,78.44,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1984,11400000000,374534000000,0.03044,41.02798411,24.7776311,9.5,78.44,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1985,11976000000,412120000000,0.02906,39.09110211,33.15490634,11.375,78.39,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1985,11976000000,412120000000,0.02906,39.09110211,25.13357342,11.375,78.39,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1986,11962000000,444033000000,0.02694,37.48161736,32.15864587,10.875,78.34,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1986,11962000000,444033000000,0.02694,37.48161736,24.50068363,10.875,78.34,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1987,12503000000,492635000000,0.02538,33.99555452,31.1886082,8.375,78.29,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1987,12503000000,492635000000,0.02538,33.99555452,23.15879508,8.375,78.29,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1988,13253000000,551709000000,0.02402,28.48140958,30.71655529,12.875,78.24,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1988,13253000000,551709000000,0.02402,28.48140958,22.99074992,12.875,78.24,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1989,14140000000,609474000000,0.0232,25.00094344,30.43919839,14.875,78.19,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1989,14140000000,609474000000,0.0232,25.00094344,22.76227158,14.875,78.19,NA,Europe and Central Asia,High-Income Economies
United Kingdom,1990,14951000000,662850000000,0.02256,22.82066078,31.11518443,13.875,78.14,1.2,Europe and Central Asia,High-Income Economies
United Kingdom,1990,14951000000,662850000000,0.02256,22.82066078,24.1512946,13.875,78.14,1.2,Europe and Central Asia,High-Income Economies
United Kingdom,1991,15266000000,698038000000,0.02187,23.21854254,31.58982749,10.375,78.112,1.3,Europe and Central Asia,High-Income Economies
United Kingdom,1991,15266000000,698038000000,0.02187,23.21854254,24.84713704,10.375,78.112,1.3,Europe and Central Asia,High-Income Economies
United Kingdom,1992,15436000000,721445000000,0.0214,26.73114375,30.91656329,6.875,78.172,1.5,Europe and Central Asia,High-Income Economies
United Kingdom,1992,15436000000,721445000000,0.0214,26.73114375,24.28031599,6.875,78.172,1.5,Europe and Central Asia,High-Income Economies
